time,battery
1721885888.538,53,
1721885889.541,53,
1721885890.52,53,
1721885892.005,53,
1721885892.513,53,
1721885894.483,53,
1721885893.502,53,
1721885895.486,53,
1721885896.479,53,
1721885897.478,53,
1721885898.475,53,
1721885899.468,53,
1721885903.951,53,
1721885904.953,53,
1721885905.465,53,
1721885906.453,53,
1721885907.474,53,
1721885908.466,53,
1721885909.467,53,
1721885910.467,53,
1721885911.45,53,
1721885912.962,53,
1721885913.454,53,
1721885914.953,53,
1721885916.458,53,
1721885918.941,53,
1721885919.43,53,
1721885920.944,53,
1721885921.444,53,
1721885923.437,53,
1721885924.438,53,
1721885926.902,53,
1721885928.4,53,
1721885929.417,53,
1721885930.421,53,
1721885931.42,53,
1721885932.417,53,
1721885933.416,53,
1721885934.431,53,
1721885935.447,53,
1721885936.954,53,
1721885937.448,53,
1721885938.458,53,
1721885939.425,53,
1721885940.458,53,
1721885941.476,53,
1721885942.483,53,
1721885943.484,53,
1721885944.475,53,
1721885945.473,53,
1721885946.479,53,
1721885947.503,53,
1721885948.502,53,
1721885949.498,53,
1721885950.494,53,
1721885951.999,53,
1721885953.005,53,
1721885953.515,53,
1721885954.49,53,
1721885955.484,53,
1721885956.489,53,
1721885958.449,53,
1721885959.417,53,
1721885960.424,53,
1721885961.402,53,
1721885962.391,53,
1721885963.39,53,
1721885964.383,53,
1721885965.403,53,
1721885966.39,53,
1721885967.38,53,
1721885968.376,53,
1721885969.855,53,
1721885970.334,53,
1721885971.321,53,
1721885972.324,53,
1721885973.316,53,
1721885974.327,53,
1721885975.809,53,
1721885976.812,53,
1721885978.31,53,
1721885980.309,53,
1721885981.294,53,
1721885982.771,53,
1721885983.282,53,
1721885984.785,53,
1721885985.264,53,
1721885986.259,53,
1721885987.254,53,
1721885988.733,53,
1721885989.746,53,
1721885990.72,53,
1721885991.227,53,
1721885992.214,53,
1721885993.207,53,
1721885994.225,53,
1721885995.719,53,
1721885996.228,53,
