time,tech_perfusion
1721885661.378,0.37,
1721885662.854,0.62,
1721885663.851,0.59,
1721885664.358,0.72,
1721885666.363,0.61,
1721885667.842,0.22,
1721885668.35,0.54,
1721885669.364,0.69,
1721885670.372,0.64,
1721885671.881,0.7,
1721885672.379,0.65,
1721885673.371,0.53,
1721885674.35,0.53,
1721885675.847,0.62,
1721885676.865,0.69,
1721885677.355,0.69,
1721885678.841,0.9,
1721885681.344,0.78,
1721885682.327,0.72,
1721885683.329,0.74,
1721885684.343,0.65,
1721885685.34,0.53,
1721885686.347,0.53,
1721885687.347,0.57,
1721885688.349,0.72,
1721885689.857,0.67,
1721885690.366,0.6,
1721885691.375,0.66,
1721885692.372,0.58,
1721885693.366,0.58,
1721885694.361,0.5,
1721885695.34,0.55,
1721885696.852,0.56,
1721885698.333,0.62,
1721885699.347,0.5,
1721885700.327,0.48,
1721885701.811,0.59,
1721885704.285,0.5,
1721885706.256,0.56,
1721885707.255,0.56,
1721885708.251,0.58,
1721885709.222,0.52,
1721885710.249,0.62,
1721885711.247,0.52,
1721885712.728,0.27,
1721885713.228,1.0,
1721885714.205,0.43,
1721885715.204,0.43,
1721885716.692,0.46,
1721885717.681,0.46,
1721885718.185,0.73,
1721885719.184,0.47,
1721885720.187,0.47,
1721885721.175,0.49,
1721885722.153,0.41,
1721885723.15,0.46,
1721885724.138,0.37,
1721885726.129,0.69,
